Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
Belkin BOOSTUP 2-Ports USB Swivel Charger F8M102SA,Belkin,Accessories,AVAILABLE,146.0,0.0,-,0
Sony Sport In-Ear Headphones (White) - SNY-MDRAS210APWQE,Sony,Audio,OUT OF STOCK,76.0,0.0,-,0
MSI Gaming Headset 7.1 Surround Sound Xear Tech DS502,MSI,Audio,OUT OF STOCK,325.0,0.0,-,0
Samsung TU8000 Crystal UHD 4K Smart TV (2020),Samsung,TV,OUT OF STOCK,1666.0,5.0,"['Senheng 1lagenda melaka good service#31Anniversary,#SenhengKOC', 'Good service #senhengKOC#31anniversary#grandsenhengpandamaran#31Anniversary,#SenhengKOC', 'Best purchase at senheng srigombak #31Anniversary,#SenhengKOC', '#senhengKOC#senhengAlorSetar#31Anniversary,#SenhengKOC', 'Everything was awesome!ðŸ’–ðŸ’–ðŸ’–#31Anniversary,#SenhengKOC', 'Excellent service by Bintulu Branch Staff Mr Chan #31Anniversary,#SenhengKOC', 'Happy at GRANDSENHEBGSEKSYEN23SHAHALAM #SENHENGKOC#31ANNIVERSARY#31ANNIVERSARY#GRANDSENHENGSEKSYEN23SHAHALAM#31ANNIVERSARY#21ANNIVERSARY#SENHENGKOC#31Anniversary,#SenhengKOC', 'undefined#SenhengKOC,#31Anniversary']",8
LG SN7Y 380W 3.1.2ch Hi-Res Dolby Atmos Sound Bar with Meridian Technology & Bluetooth® Connectivity LG-SN7Y,LG,Audio,AVAILABLE,1999.0,0.0,-,0
Philips 32 Inch 5500 Series HD LED TVs 32PHT5583/68,Philips,TV,AVAILABLE,538.0,0.0,-,0
"Cento 40""-60"" Tilt Mount CT-PLCD.PLB101B",Cento,Accessories,AVAILABLE,150.0,0.0,-,0
"MasterLink 40""-63"" Full Motion Mount MSL-4063FM800",MasterLink,Accessories,AVAILABLE,559.0,0.0,-,0
Sharp 8K Resolution TV SHP-8TC80AX1X,Sharp,TV,AVAILABLE,68888.0,0.0,-,0
Sony In-ear Headphones - MDR-EX155AP (Black),Sony,Audio,OUT OF STOCK,110.0,0.0,-,0
Sony In-Ear Headphones with Mic (Gold) - SNY-MDREX255APNQE,Sony,Audio,OUT OF STOCK,144.0,0.0,-,0
Sony Walkman Player Waterproof Ivory NW-WS413,Sony,Audio,OUT OF STOCK,379.0,0.0,-,0
Powerbeats3 Wireless Earphones Black BTS-ML8V2ZP/A,Powerbeats3,Audio,AVAILABLE,769.0,0.0,-,0
HUAWEI FreeBuds Studio,HUAWEI,Audio,OUT OF STOCK,1199.0,0.0,-,0
Belkin 5 Meters High Speed HDMI® Cable with Ethernet F3Y020BT5M,Belkin,Accessories,OUT OF STOCK,93.0,0.0,-,0
Sony WF-SP900 Sports Wireless Headphones (Yellow),Sony,Wearables,AVAILABLE,979.0,0.0,-,0
Sharp 32-Inch HD Ready TV 2TC32BG1X,Sharp,TV,OUT OF STOCK,949.0,0.0,-,0
Panasonic SC-UA3 High Power Audio Wireless Speaker,Panasonic,Audio,AVAILABLE,659.0,0.0,-,0
